peptide	countNS	countWS
GO:0046496	2343	3302
GO:0019362	2343	3302
GO:0005694	119	168
GO:0006865	294	414
GO:0009235	290	408
GO:0016885	332	467
GO:0016854	236	332
GO:0009132	2167	3043
GO:0009129	253	355
GO:0072525	2202	3084
GO:0072511	79	111
GO:0009185	2147	3002
GO:0009144	2703	3767
GO:0000015	427	595
GO:0004634	427	595
GO:0006119	193	269
GO:0033013	331	461
GO:0106130	63	88
GO:0062013	215	299
GO:0006537	79	110
GO:0016052	2518	3494
GO:0032259	185	257
GO:0042776	193	268
GO:0005754	193	268
GO:0005753	193	268
GO:0045267	193	268
GO:0009206	2697	3740
GO:0009145	2697	3740
GO:0009205	2698	3741
GO:0009119	652	903
GO:0003918	96	133
GO:0061505	96	133
GO:0090056	83	115
GO:0010380	83	115
GO:0045037	83	115
GO:1901463	83	115
GO:1901401	83	115
GO:0009706	83	115
GO:0031897	83	115
GO:0009528	83	115
GO:0009793	107	148
GO:0072524	2410	3323
GO:1901657	837	1154
GO:0009325	60	83
GO:0008940	60	83
GO:0061615	68	94
GO:0051082	1003	1380
GO:0009236	229	315
GO:0009116	834	1146
GO:0009201	2849	3912
GO:0009199	2850	3913
GO:0071407	101	139
GO:0004022	187	257
GO:0061731	85	117
GO:0004748	85	117
GO:0009141	2896	3972
GO:0001666	271	372
GO:0007049	918	1259
GO:0034655	2470	3384
GO:0016879	1031	1412
GO:0009142	2871	3926
GO:0051301	950	1298
GO:0006524	62	85
GO:0042853	62	85
GO:0009080	62	85
GO:0000286	62	85
GO:0031072	565	771
GO:0006265	112	153
GO:0003916	112	153
GO:0042254	228	311
GO:0022613	228	311
GO:0033014	270	368
GO:0016615	252	343
GO:0044085	230	313
GO:1990542	197	268
GO:0006839	197	268
GO:0044403	158	215
GO:0006754	2644	3592
GO:0046034	2645	3593
GO:0042455	634	860
GO:0004519	182	247
GO:1901659	636	862
GO:0008199	276	374
GO:0008238	560	758
GO:0009163	636	860
GO:0006662	96	130
GO:0018904	96	130
GO:0006115	162	219
GO:0031090	582	784
GO:0071265	80	108
GO:0017000	173	233
GO:0016763	281	378
GO:0044208	119	160
GO:0035966	524	703
GO:0006986	524	703
GO:0016053	4419	5926
GO:0044436	411	551
GO:0005976	644	860
GO:0033692	503	671
GO:0006067	164	219
GO:0022838	83	111
GO:0005216	83	111
GO:0009790	114	152
GO:0072330	2816	3744
GO:0009408	1124	1493
GO:0031969	170	226
GO:0042170	170	226
GO:0051787	524	694
GO:0046394	4409	5836
GO:0016776	203	269
GO:0016671	89	118
GO:0042803	347	459
GO:0045259	248	328
GO:0044877	1122	1482
GO:0009246	127	168
GO:0046378	127	168
GO:0009161	3580	4727
GO:0006766	584	771
GO:0006767	584	771
GO:0005984	96	127
GO:0000270	423	558
GO:0030203	423	558
GO:0009156	3573	4707
GO:0009124	3600	4739
GO:0035967	524	690
GO:0016469	249	328
GO:0009123	3678	4839
GO:0008948	186	245
GO:0008033	254	334
GO:0030435	479	629
GO:0046128	374	491
GO:0044283	6113	8009
GO:0006458	1087	1423
GO:0016310	3636	4759
GO:0006207	103	135
GO:0006355	880	1151
GO:0006022	427	558
GO:0009126	3319	4324
GO:0009167	3319	4324
GO:0016301	1767	2300
GO:0009658	185	241
GO:0009657	185	241
GO:0022610	1072	1395
GO:0009208	159	207
GO:0009209	159	207
GO:0071555	416	541
GO:0009127	3314	4304
GO:0009168	3314	4304
GO:0071554	418	543
GO:0009148	170	221
GO:0009735	97	126
